fecha,t,h3_id,active
2012-03-03,122,892a100d21bffff,1
2012-03-03,122,892a100d61bffff,1
2012-03-03,123,892a100d667ffff,1
2012-03-03,123,892a100d693ffff,1
2012-03-03,128,892a100d23bffff,1
2012-03-03,129,892a100d29bffff,1
2012-03-03,130,892a100d66bffff,1
2012-03-03,130,892a1072cbbffff,1
2012-03-03,131,892a100888fffff,1
2012-03-03,131,892a100d237ffff,1
2012-03-03,132,892a1072cdbffff,1
2012-03-03,134,892a100d617ffff,1
2012-03-03,135,892a1072c87ffff,1
2012-03-03,136,892a1008b27ffff,1
2012-03-03,138,892a100d23bffff,1
2012-03-03,138,892a10721a7ffff,1
2012-03-03,138,892a1072c77ffff,1
2012-03-03,138,892a1072cb7ffff,1
2012-03-03,138,892a1072cd3ffff,1
2012-03-03,141,892a1008917ffff,1
2012-03-10,2,892a100d677ffff,1
2012-03-10,3,892a1072c97ffff,1
2012-03-10,4,892a100d04bffff,1
2012-03-10,7,892a10721b3ffff,1
2012-03-10,7,892a1072c6bffff,1
2012-03-10,7,892a1072cabffff,1
2012-03-10,8,892a100d34fffff,1
2012-03-10,9,892a1008b27ffff,1
2012-03-10,11,892a100d26fffff,1
2012-03-10,11,892a1072c9bffff,1
2012-03-10,12,892a100892fffff,1
2012-03-10,13,892a100d227ffff,1
2012-03-10,14,892a1072cd3ffff,1
2012-03-10,17,892a100d353ffff,1
2012-03-10,19,892a100d22fffff,1
2012-03-10,23,892a100d243ffff,1
2012-03-10,25,892a1072ca7ffff,1
2012-03-10,49,892a10089a7ffff,1
2012-03-10,51,892a100d267ffff,1
2012-03-10,52,892a1008933ffff,1
2012-03-10,53,892a100d26fffff,1
2012-03-10,59,892a1008923ffff,1
2012-03-10,60,892a100d62bffff,1
2012-03-10,60,892a100d63bffff,1
2012-03-10,60,892a10725a7ffff,1
2012-03-10,61,892a100d35bffff,1
2012-03-10,61,892a10721b3ffff,1
2012-03-10,62,892a1008943ffff,1
2012-03-10,67,892a1008bb3ffff,1
2012-03-10,67,892a100d623ffff,1
2012-03-10,67,892a1072583ffff,1
2012-03-10,68,892a1008817ffff,1
2012-03-10,68,892a1008d83ffff,1
2012-03-10,71,892a1008ba3ffff,1
2012-03-10,74,892a100aa2bffff,1
2012-03-10,75,892a1008917ffff,1
