fecha,t,z1,z2,z3,z4,z5,z6
2009-01-17,75,-0.03234428,0.023618735,-0.021629566,-0.027655493,0.02430625,-0.018598007
2009-01-17,77,-0.019253911,-0.007467643,0.012074744,-0.0036311601,-0.0012421065,-0.0067654303
2009-01-17,78,-0.0135456845,-0.00871341,-0.0027100889,-0.011611545,0.007312685,-0.0037603558
2009-01-17,79,-0.029841023,-0.025154008,-0.030571936,-0.0121316,0.030283097,0.09938614
2009-01-17,80,-0.049086627,-0.12434783,-0.51056886,0.8594365,-0.19949245,0.03346152
2009-01-17,81,-0.020110572,-0.008474202,0.0015928188,-0.008962622,0.0074608135,-0.005673718
2009-01-17,82,-0.019077836,-0.008096134,-0.0038490715,-0.011694879,0.0040369825,-0.011097326
2009-01-17,85,-0.030823193,-0.00079480384,0.01109727,-0.02569528,0.4896495,0.7460021
2009-01-17,86,-0.019694682,-0.008723884,0.0020940797,-0.009830939,-0.000328346,-0.00807898
2009-01-17,87,-0.017129688,-0.0065033566,-0.0023267814,-0.008697519,0.0037631316,-0.007283354
2009-01-17,88,-0.02334288,-0.013713875,-0.004277475,-0.018874418,0.01095326,-0.0055271913
2009-01-17,89,-0.034561753,-0.042605292,-0.037729282,-0.049341355,0.09208587,-0.0068688677
2009-01-17,94,-0.014931852,-0.0071280706,-0.0025940456,-0.009140885,0.0039878474,-0.0076898513
2009-01-17,95,-0.027744727,-0.04128806,-0.0015822594,-0.032994114,-0.0446249,-0.055752065
2009-01-17,96,-0.018045617,-0.0008224959,-0.009964309,0.007665377,0.002805806,-0.012226629
2009-01-17,98,-0.026670009,-0.029267665,0.023894493,-0.03517185,0.04247968,-0.052795753
2009-01-17,101,-0.02367399,-0.005431505,0.0016391055,-0.017320633,-0.0072691864,-0.010417436
2009-01-17,102,-0.018230127,-0.0103470255,0.0087611675,-0.008268214,0.0051746457,-0.016429244
2009-01-17,104,-0.018171528,-0.011138646,0.0043467,-0.0006621603,0.008231901,-0.0033906598
2009-01-17,105,-0.018975925,-0.007575637,0.0018678756,-0.007940315,0.0069499235,-0.004459239
2009-01-17,107,-0.015525645,0.0027640855,0.006954358,-0.0072280383,0.01453544,-0.015200814
2009-01-17,108,-0.010538119,-0.00024359496,0.010946368,-0.009942371,0.017319513,-0.021562388
